3-5年,本科及以上,"我司为B2B硬件IT产品租赁行业独角兽，为了更快的适应我司的业务，希望有相关B2B行业对销售数据分析有经验的优秀人员加入！

岗位要求：
1、定期追踪销售关键指标，并从业务层面分析存在的问题，洞察问题的原因，提出指导改进策略。 2、销售业务关键业务流程分析，发现流程中的问题，提升销售效率；
3、分析销售数据背后的真实销售数据以推动整个销售目标的达成；
4、搭建销售数据体系，定期向部门提供日常报表、月报、季报等，针对指标数据异常，提出预警。

任职资格： 1、计算机、统计学、数学相关专业本科以上学历；
2、具有较深的数据挖掘分析功底，两年以上数据挖掘相关工作经验，与销售运营、销售数据分析或业务管理等相关经验者优先考虑；
3、熟悉常用数据分析工具，掌握sql语言、powerBI工具和Python分析； 3、较强的组织、协调、沟通、人际交往能力以及敏锐的洞察力； 4、责任心强，能承受较强的工作压力，具有很强的判断与决策能力，计划和执行能力及解决复杂问题的能力，能独立或支持团队完成数据分析工作； 5、为人正直，踏实稳重，思维严谨，有良好的服务意识。",北京,北京易点淘网络技术有限公司,今天 14:04,数据分析,15k-20k
3-5年,本科及以上,"职位职责：
1、负责部门层面的业务分析工作，收集、整理和可视化每天的业务数据，撰写优化运营日报/周报/月报，建立统计分析模型，深入研究和分析影响运营指标的关键因素；
2、跟踪业务/重点项目的发展变化，对业务经营发展状态进行监控分析，提出策略建议报告；
3、分析不同业务线的数据波动规律，从业务发展和营收等方面综合评估，规避业务风险，并提出改善建议；
4、协助数据产品运营团队，解决日常数据发布以及客户提出的复杂数据问题；


职位要求：
1、良好的数据敏感度，能从海量数据中提炼核心结果，有丰富的数据挖掘，信息采集整理，分析能力；
2、两年以上数据分析相关从业经验，有过物流行业、广告行业者、财务数据分析优先；
3、责任心强，具备沟通协调和闭环管理、推进能力；有带队经验者优先。",北京,北京木瓜移动科技股份有限公司,今天 13:12,数据分析,15k-25k
3-5年,本科及以上,"岗位职责：
1、负责使用大数据和人工智能技术，分析政务、银行、交通等领域的数据，深入挖掘内外部用户需求，理解市场，设计数据应用产品，实现分析建模、报表汇总、成果展示、用户运营等功能；
2、沟通协调项目进度，理清业务和技术的环节，与研发、运营团队紧密协作，推动数据产品落地实施，把控产品质量；

任职资格：
1、全日制大学本科及以上学历，信息科学类相关专业；
2、具有数据使用能力、业务抽象理解能力、需求提炼能力以及项目协调管理能力，有数据挖掘建模经历的优先；
3、熟练掌握SQL、Excel、Python等一种常用数据处理工具，有Axzure、Sketch、墨刀等原型设计软件的经验；
4、有良好的逻辑思维能力，较强的沟通能力和团队合作精神，能承担工作压力；

优先条件:
1、有智慧政务、数字政府、智慧城市、智能投顾等领域项目经验者优先
2、有分布式存储计算、数据挖掘、数据治理等项目经验者优先",北京,建信金融科技有限责任公司,今天 15:05,大数据分析师_技术管理与支持,16k-32k
1-3年,本科及以上,"岗位职责：

1、负责团队业务、人员指标建立及数据体系搭建，以衡量团队运营能力；  2、负责团队数据报表模板建立，并进行常态数据统计、监控，推动数据平台的建立及完善；  3、及时对数据进行深入分析，发现问题并提出改进意见，参与推动业务团队改善；  4、根据团队需要，提供专项数据支持；
 

任职条件：

1、2年以上数据分析工作经验，有客服或审核团队数据经验者优先；  2、本科及以上学历，统计学或数学相关专业；  3、熟练运用Excel进行数据统计与分析；  4、具备较强的逻辑思维，问题分析与解决能力；  5、具备良好的跨团队合作及沟通学习能力；",天津,北京达佳互联信息技术有限公司,今天 16:19,数据分析专员,8k-10k
3-5年,本科及以上,"1、有从事分布式数据存储与计算平台应用开发经验，熟悉Hadoop生态相关技术并有相关开发经验，有Spark/Flink/Storm的开发经验尤佳；
2、有大数据处理经验hbase、mongodb、redis、es等各类存储；
3、较为丰富的数据仓库及数据平台的架构经验，精通数据仓库建模及ETL设计开发；有较为系统的海量数据性能处理经验
4、负责分布式网络爬虫系统的架构设计与开发，包括爬虫、结构化提取和内容分析等相关功能及平台开发。",北京,北京步峰信息技术有限公司,昨天 17:55,大数据分析,15k-25k
5-10年,本科及以上,"1.数学、计算机、统计学等相关专业本科以上学历，5年以上相关工作经历；
2.丰富的大项目的经验，有丰富的跨团队、部门的项目资源整合能力，能够独立开展数据研究项目；
3.熟悉hive sql，熟悉各种大数据技术平台，有丰富的数据分析、挖掘、清洗和建模的经验；
4.对数据和业务敏感，有数据模型建立和运营经验、数据化运营经验、数据类产品类规划经验，尤其是互联网相关的优先；
5.具备良好的抗压能力、沟通能力和团队精神。",上海,博睿天下（成都）科技有限责任公司,今天 09:29,数据分析,25k-30k
1-3年,本科及以上,岗位职责:1、负责团队业务、人员指标建立及数据体系搭建，以衡量团队运营能力；2、负责团队数据报表模板建立，并进行常态数据统计、监控，推动数据平台的建立及完善；3、及时对数据进行深入分析，发现问题并提出改进意见，参与推动业务团队改善；4、根据团队需要，提供专项数据支持。任职资格:1、2年以上数据分析工作经验，有客服或审核团队数据经验者优先；2、本科及以上学历，专业不限，统计学或数学相关专业优先；3、熟练运用Excel进行数据统计与分析；4、具备较强的逻辑思维，问题分析与解决能力；5、具备良好的跨团队合作及沟通学习能力。,成都,北京达佳互联信息技术有限公司,2020-02-05,数据分析,8k-10k
1-3年,本科及以上,"岗位要求：
1、数据提取：
能够独立完成线上数据的提取、数据清洗、特征工程以及描述性分析等工作，及时反馈业务数据中的问题，推进业务进行。确保数据的及时性、有效性、准确性；2、数据整理：
发现库中数据问题，并及时上报，协同数据产品和研发对数据进行修正；3、表结构梳理：
辅助数据产品对表结构进行梳理；4、业务理解：
积极协调配合其他运营数据需求，支持并分析不同业务线的数据，完善数据分析报告并提供后续发展策略。

岗位要求:
1、本科及以上学历，统计、数学、社会学或计算机等相关专业；2、精通使用SQL、Excel和PPT，熟悉hive、spark优先；
3、业务理解业务强，可快速把握业务重点；4、数据敏感，逻辑清晰，有良好的信息搜集能力。",北京,北京拉勾网络技术有限公司,今天 10:15,数据分析师,10k-20k
5-10年,本科及以上,"岗位职责：
1、负责产品和用户运营数据分析，洞察挖掘转化提升点，提出方案建议，支撑运营决策和跟踪分析；
2、负责业务数据指标建设，支持业务日常运营和分析；
3、基于现有数据展示平台，实现运营指标可视化；
4、根据实际业务情况，对数据进行建模和挖掘，与运营部门一起建立并持续完善数据分析模型；

任职要求：
1、本科及以上学历，计算机、应用数学、统计及相关专业；3年以上大数据分析相关经验；
2、以目标提升为导向，侧重增长的分析思维；
2、熟悉SQL，Hive，至少一种数据可视化工具和方法；
3、熟悉python优先
4、良好的沟通交流能力，较好的逻辑分析能力，善于理解和分析业务，对数据敏感。",深圳,万兴科技集团股份有限公司,昨天 17:46,大数据分析师,13k-25k
3-5年,本科及以上,"岗位职责：
1、业务分析：深入业务，了解业务痛点，为业务线建立数据支持体系，通过数据为业务优化提供效果评估及数据决策支持；
2、用户模型：构建用户分析体系，包含用户行为分析、用户画像分析等，挖掘潜在的规律趋势，协助业务进行策略优化；
3、目标监测：测算业务目标，跟进和监督各业务目标完成情况，有效提供改进策略和实施建议；
4、可视化呈现：与产品、运营和市场等团队合作，明确监测指标，保障数据可视化。

岗位要求：
1、本科及以上学历，统计、数学、社会学或计算机等相关专业；
2、精通使用SQL、Excel和PPT，能够熟练使用Tableau、R和Python；
3、业务理解业务强，可快速把握业务重点，形成分析框架且有自己明确的观点输出；
4、数据敏感，逻辑清晰，有良好的信息搜集能力；
5、有良好的报告撰写能力、演讲和价值输出能力；
6、有数据分析及建模相关经验优先，如：用户画像、财报研究、商业变现分析等。",北京,北京拉勾网络技术有限公司,今天 10:15,资深数据分析师,20k-35k
